"rec","presence","site","year","month","day","hour","minute","species","songtype"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,20,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,21,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,22,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,23,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,24,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,25,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,26,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,27,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,28,"Strix aluco","Common Song"
"20240907_052000.WAV",0,Winkeläcker,2024,9,7,5,29,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,45,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,46,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,47,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,48,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,49,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,50,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,51,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,52,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,53,"Strix aluco","Common Song"
"20240907_204500.WAV",0,Winkeläcker,2024,9,7,20,54,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,20,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,21,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,22,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,23,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,24,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,25,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,26,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,27,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,28,"Strix aluco","Common Song"
"20240908_062000.WAV",0,Winkeläcker,2024,9,8,6,29,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,20,55,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,20,56,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,20,57,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,20,58,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,20,59,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,21,0,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,21,1,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,21,2,"Strix aluco","Common Song"
"20240909_205500.WAV",0,Winkeläcker,2024,9,9,21,3,"Strix aluco","Common Song"
